i	j	q	a
0	400	89	1
0	401	113	1
0	402	112	0
0	403	93	0
0	404	113	1
0	405	106	0
0	406	112	1
0	407	105	1
0	408	113	1
0	409	112	1
0	410	112	1
0	411	113	1
0	412	110	0
0	413	113	1
0	414	113	1
0	415	113	1
0	416	108	0
0	417	113	1
0	418	108	0
0	419	108	0
0	420	112	0
0	421	113	1
0	422	111	1
0	423	110	0
0	424	113	1
0	425	105	0
0	426	110	1
0	427	106	0
0	428	113	1
0	429	113	1
0	430	113	1
0	431	112	1
0	432	113	1
0	433	57	0
0	434	112	0
0	435	113	1
0	436	114	1
0	437	113	1
0	438	113	0
0	439	113	1
0	440	108	0
0	441	113	1
0	442	93	0
0	443	111	1
0	444	108	0
0	445	108	0
0	446	112	1
0	447	113	0
0	448	113	0
0	449	107	0
0	450	106	0
0	451	93	0
0	452	113	1
0	453	114	0
0	454	111	1
0	455	112	0
0	456	113	1
0	457	113	1
0	458	113	1
0	459	112	1
0	460	113	1
0	461	112	0
0	462	106	0
0	463	106	0
0	464	113	1
0	465	113	1
0	466	113	1
0	467	113	1
0	468	112	1
0	469	110	1
0	470	111	0
0	471	113	0
0	472	113	1
0	473	112	0
0	474	92	0
0	475	112	1
0	476	106	0
0	477	93	0
0	478	108	0
0	479	113	1
0	480	113	1
0	481	92	0
0	482	112	0
0	483	111	1
0	484	113	1
0	485	110	0
0	486	106	0
0	487	113	1
0	488	113	1
0	489	113	1
0	490	113	0
0	491	113	1
0	492	113	1
0	493	111	1
0	494	108	0
0	495	108	0
0	496	106	0
0	497	112	1
0	498	93	0
0	499	113	0
0	500	111	1
0	501	113	1
0	502	108	0
0	503	93	0
0	504	113	1
0	505	113	1
0	506	109	1
0	507	112	0
0	508	113	1
0	509	112	1
0	510	113	1
0	511	112	0
0	512	113	0
0	513	112	1
0	514	113	1
0	515	113	1
0	516	112	0
0	517	112	1
0	518	114	0
0	519	113	1
0	520	112	1
0	521	113	1
0	522	104	0
0	523	86	0
0	524	113	1
0	525	113	1
0	526	37	1
0	527	108	1
0	528	113	1
0	529	102	0
0	530	104	0
0	531	91	0
0	532	110	1
0	533	108	0
0	534	106	0
0	535	113	1
0	536	113	1
0	537	89	0
0	538	106	0
0	539	113	1
0	540	108	0
0	541	108	0
0	542	96	1
0	543	89	1
0	544	93	0
0	545	108	0
0	546	112	1
0	547	79	0
0	548	87	0
0	549	113	1
0	550	89	1
0	551	56	0
0	552	113	1
0	553	112	1
0	554	112	0
0	555	110	0
0	556	113	1
0	557	89	0
0	558	90	0
0	559	89	1
0	560	107	0
0	561	111	1
0	562	107	1
0	563	110	0
0	564	106	1
0	565	106	0
0	566	103	1
0	567	113	0
0	568	113	1
0	569	83	0
0	570	113	1
0	571	87	1
0	572	107	0
0	573	114	1
0	574	113	1
0	575	37	0
0	576	89	0
0	577	93	0
0	578	44	0
0	579	113	1
0	580	113	1
0	581	112	0
0	582	89	1
0	583	91	0
0	584	99	1
0	585	114	1
0	586	93	0
0	587	108	1
0	588	106	1
0	589	110	1
0	590	108	0
0	591	113	1
0	592	108	0
0	593	103	0
0	594	113	1
0	595	112	1
0	596	89	0
0	597	113	1
0	598	113	1
0	599	110	0
0	600	89	0
0	601	106	0
0	602	93	0
0	603	105	0
0	604	113	1
0	605	98	1
0	606	108	0
0	607	110	1
0	608	112	0
0	609	112	1
0	610	108	0
0	611	108	0
0	612	112	1
0	613	113	1
0	614	111	0
0	615	112	0
0	616	85	0
0	617	89	0
0	618	112	0
0	619	113	1
0	620	111	0
0	621	112	1
0	622	107	0
0	623	112	0
0	624	111	1
0	625	113	1
0	626	93	0
0	627	108	1
0	628	110	0
0	629	113	1
0	630	110	1
0	631	112	1
0	632	113	1
0	633	108	0
0	634	111	0
0	635	106	0
0	636	108	0
0	637	106	0
0	638	114	1
0	639	113	1
0	640	112	1
0	641	112	1
0	642	100	1
0	643	108	0
0	644	106	0
0	645	113	1
0	646	90	0
0	647	92	0
0	648	112	0
0	649	113	1
0	650	113	1
0	651	112	1
0	652	108	0
0	653	113	1
0	654	113	1
0	655	100	0
0	656	108	0
0	657	106	0
0	658	112	1
0	659	112	1
0	660	113	0
0	661	107	0
0	662	113	1
0	663	113	1
0	664	111	1
0	665	113	0
0	666	113	0
0	667	112	0
0	668	113	1
0	669	108	0
0	670	112	1
0	671	113	1
0	672	106	1
0	673	93	0
0	674	113	1
0	675	113	1
0	676	113	1
0	677	113	1
0	678	107	0
0	679	108	0
0	680	113	1
0	681	113	1
0	682	112	0
0	683	112	0
0	684	113	1
0	685	55	0
0	686	108	1
0	687	93	0
0	688	93	0
0	689	113	1
0	690	113	1
0	691	107	1
0	692	112	0
0	693	113	1
0	694	114	1
0	695	85	1
0	696	113	1
0	697	110	1
0	698	92	0
0	699	113	1
0	700	93	0
0	701	102	0
0	702	107	1
0	703	113	1
0	704	113	1
0	705	106	0
0	706	108	0
0	707	108	0
0	708	87	1
0	709	113	1
0	710	113	1
0	711	113	1
0	712	66	0
0	713	108	0
0	714	83	0
0	715	113	1
0	716	113	0
0	717	111	1
0	718	113	1
0	719	113	1
0	720	114	1
0	721	113	1
0	722	85	0
0	723	113	1
0	724	106	0
0	725	112	0
0	726	113	1
0	727	111	1
0	728	114	0
0	729	113	0
0	730	112	0
0	731	93	0
0	732	106	1
0	733	113	1
0	734	113	1
0	735	112	0
0	736	113	1
0	737	112	0
0	738	111	1
0	739	39	0
0	740	91	1
0	741	77	1
0	742	112	0
0	743	113	1
0	744	108	0
0	745	110	0
0	746	64	1
0	747	54	1
0	748	89	0
0	749	113	1
0	750	93	0
0	751	113	1
0	752	108	0
0	753	93	0
0	754	113	1
0	755	111	0
0	756	111	0
0	757	93	0
0	758	102	1
0	759	112	0
0	760	108	0
0	761	113	1
0	762	36	0
0	763	113	1
0	764	113	1
0	765	110	0
0	766	90	1
0	767	114	1
0	768	109	1
0	769	110	0
0	770	113	1
0	771	108	0
0	772	99	0
0	773	112	0
0	774	106	1
0	775	111	1
0	776	113	1
0	777	113	0
0	778	112	0
0	779	93	0
0	780	112	1
0	781	113	1
0	782	101	1
0	783	113	1
0	784	110	0
0	785	91	0
0	786	93	0
0	787	113	1
0	788	113	0
0	789	113	1
0	790	112	0
0	791	112	0
0	792	112	1
0	793	106	1
0	794	113	1
0	795	106	0
0	796	102	0
0	797	112	1
0	798	113	0
0	799	112	1
0	800	112	0
0	801	113	1
0	802	93	0
0	803	87	0
0	804	113	1
0	805	108	0
0	806	108	1
0	807	113	1
0	808	86	1
0	809	108	0
0	810	113	1
0	811	88	1
0	812	106	0
0	813	105	0
0	814	113	1
0	815	112	0
0	816	112	1
0	817	104	0
0	818	106	0
0	819	110	0
0	820	112	1
0	821	113	1
0	822	106	0
0	823	110	0
0	824	100	1
0	825	113	1
0	826	112	1
0	827	112	1
0	828	112	0
0	829	108	1
0	830	85	0
0	831	108	1
0	832	106	1
0	833	50	0
0	834	112	1
0	835	113	1
0	836	114	0
0	837	113	1
0	838	112	1
0	839	77	0
0	840	99	1
0	841	111	1
0	842	89	0
0	843	89	1
0	844	108	0
0	845	85	1
0	846	112	1
0	847	104	0
0	848	111	1
0	849	107	1
0	850	104	0
0	851	85	0
0	852	36	1
0	853	113	1
0	854	105	0
0	855	89	0
