i	j	q	a
0	400	113	1
0	401	91	1
0	402	77	1
0	403	110	1
0	404	55	1
0	405	108	1
0	406	91	1
0	407	106	1
0	408	85	1
0	409	93	1
0	410	106	1
0	411	113	1
0	412	112	1
0	413	108	1
0	414	93	1
0	415	112	1
0	416	89	1
0	417	110	1
0	418	112	1
0	419	112	1
0	420	106	1
0	421	112	1
0	422	113	1
0	423	93	1
0	424	93	1
0	425	92	1
0	426	111	1
0	427	108	1
0	428	91	1
0	429	106	1
0	430	114	1
0	431	93	1
0	432	100	1
0	433	106	1
0	434	109	1
0	435	112	1
0	436	112	1
0	437	106	1
0	438	108	1
0	439	111	1
0	440	112	1
0	441	108	1
0	442	110	1
0	443	102	1
0	444	113	1
0	445	106	1
0	446	106	1
0	447	106	1
0	448	93	1
0	449	56	1
0	450	112	1
0	451	106	1
0	452	100	1
0	453	108	1
0	454	108	1
0	455	112	1
0	456	108	1
0	457	65	1
0	458	112	1
0	459	93	1
0	460	112	1
0	461	108	1
0	462	112	1
0	463	85	1
0	464	112	1
0	465	112	1
0	466	111	1
0	467	106	1
0	468	112	1
0	469	108	1
0	470	93	1
0	471	93	1
0	472	93	1
0	473	57	1
0	474	112	1
0	475	108	1
0	476	93	1
0	477	43	1
0	478	112	1
0	479	108	1
0	480	108	1
0	481	112	1
0	482	108	1
0	483	114	1
0	484	93	1
0	485	112	1
0	486	113	1
0	487	107	1
0	488	113	1
0	489	108	1
0	490	111	1
0	491	104	1
0	492	93	1
0	493	111	1
0	494	102	1
0	495	113	1
0	496	108	1
0	497	108	1
0	498	106	1
0	499	100	1
0	500	91	1
0	501	113	1
0	502	66	1
0	503	108	1
0	504	104	1
0	505	89	1
0	506	106	1
0	507	93	1
0	508	108	1
0	509	94	1
0	510	106	1
0	511	88	1
0	512	106	1
0	513	108	1
0	514	112	1
0	515	104	1
0	516	110	1
0	517	104	1
0	518	108	1
0	519	111	1
0	520	108	1
0	521	108	1
0	522	108	1
0	523	113	1
0	524	110	1
0	525	106	1
0	526	67	1
0	527	91	1
0	528	85	1
0	529	113	1
0	530	93	1
0	531	113	1
0	532	105	1
0	533	91	1
0	534	93	1
0	535	93	1
0	536	112	1
0	537	104	1
0	538	91	1
0	539	108	1
0	540	87	1
0	541	110	1
0	542	108	1
0	543	55	1
0	544	93	1
0	545	106	1
0	546	93	1
0	547	104	1
0	548	93	1
0	549	111	1
0	550	108	1
0	551	112	1
0	552	93	1
0	553	106	1
0	554	110	1
0	555	49	1
0	556	93	1
0	557	112	1
0	558	105	1
0	559	108	1
0	560	106	1
0	561	112	1
0	562	106	1
