303	16	0.00405292%
339	17	0.00453445%
346	18	0.00462809%
424	19	0.00567141%
7480	20	0.100052%
7712	21	0.103155%
7728	22	0.103369%
8017	23	0.107235%
8269	24	0.110606%
8292	25	0.110914%
8700	26	0.116371%
8910	27	0.11918%
9300	28	0.124397%
9566	29	0.127955%
9753	30	0.130456%
10092	31	0.13499%
10458	32	0.139886%
10849	33	0.145116%
10993	34	0.147042%
11456	35	0.153235%
11788	36	0.157676%
12193	37	0.163093%
12250	38	0.163856%
12791	39	0.171092%
13294	40	0.17782%
13504	41	0.180629%
14200	42	0.189939%
14985	43	0.200439%
15376	44	0.205669%
15491	45	0.207207%
16053	46	0.214724%
16347	47	0.218657%
17108	48	0.228836%
17753	49	0.237464%
17706	50	0.236835%
18742	51	0.250692%
19393	52	0.2594%
19211	53	0.256966%
20069	54	0.268442%
20998	55	0.280869%
21596	56	0.288867%
22228	57	0.297321%
23205	58	0.310389%
23647	59	0.316302%
24090	60	0.322227%
24925	61	0.333396%
25729	62	0.34415%
26224	63	0.350771%
26988	64	0.360991%
27526	65	0.368187%
28257	66	0.377965%
29314	67	0.392103%
28936	68	0.387047%
29743	69	0.397841%
30634	70	0.409759%
31595	71	0.422614%
32494	72	0.434639%
33107	73	0.442838%
33664	74	0.450289%
33817	75	0.452335%
34337	76	0.459291%
35097	77	0.469456%
35022	78	0.468453%
36110	79	0.483006%
36806	80	0.492316%
37758	81	0.50505%
38345	82	0.512902%
38866	83	0.51987%
39395	84	0.526946%
39252	85	0.525034%
40265	86	0.538583%
40655	87	0.5438%
40860	88	0.546542%
41292	89	0.552321%
41356	90	0.553177%
42632	91	0.570244%
43066	92	0.576049%
43319	93	0.579434%
42836	94	0.572973%
44127	95	0.590241%
43972	96	0.588168%
44336	97	0.593037%
45471	98	0.608219%
46851	99	0.626678%
46346	100	0.619923%
46319	101	0.619561%
46719	102	0.624912%
48274	103	0.645712%
48008	104	0.642154%
48079	105	0.643103%
48851	106	0.653429%
48769	107	0.652333%
49397	108	0.660733%
50190	109	0.67134%
50578	110	0.67653%
52854	111	0.706973%
58942	112	0.788406%
67497	113	0.902838%
75392	114	1.00844%
109654	115	1.46673%
168517	116	2.25408%
43194	117	0.577762%
72073	118	0.964046%
4298457	119	57.496%
